iter	Passed	Remaining
0	714	56477
1	1310	51119
2	2064	52989
3	2701	51322
4	3321	49817
5	3935	48534
6	4531	47253
7	5143	46292
8	5742	45302
9	6330	44316
10	6928	43459
11	7551	42789
12	8169	42105
13	8789	41434
14	9383	40661
15	10095	40382
16	10702	39662
17	11318	38985
18	11937	38327
19	12633	37899
20	13253	37237
21	13869	36564
22	14485	35898
23	15117	35273
24	15730	34606
25	16429	34123
26	17058	33485
27	17654	32787
28	18332	32240
29	18968	31614
30	19577	30945
31	20196	30294
32	20803	29629
33	21422	28982
34	22022	28314
35	22631	27660
36	23271	27044
37	24062	26594
38	24707	25974
39	25304	25304
40	25915	24651
41	26533	24006
42	27168	23377
43	27741	22697
44	28369	22065
45	28988	21426
46	29650	20818
47	30440	20293
48	31050	19644
49	31673	19003
50	32299	18366
51	32920	17726
52	33560	17096
53	34181	16457
54	34788	15813
55	35477	15204
56	36142	14583
57	36758	13942
58	37414	13317
59	38038	12679
60	38648	12038
61	39297	11408
62	39918	10771
63	40530	10132
64	41230	9514
65	41868	8881
66	42642	8273
67	43260	7634
68	43906	6999
69	44512	6358
70	45132	5721
71	45724	5080
72	46353	4444
73	46975	3808
74	47604	3173
75	48327	2543
76	48935	1906
77	49585	1271
78	50207	635
79	50813	0
